cantidad_nodos,cantidad_aristas,t_con_fib,t_con_heap
10,19,0.0349572,3.9e-08
10,19,0.0338993,3.1e-08
10,19,0.0323371,2e-08
10,19,0.0369725,2.8e-08
10,19,0.0379735,4.8e-08
10,19,0.0326985,1.9e-08
10,19,0.0333657,2.9e-08
10,19,0.0333651,2.5e-08
10,19,0.0348012,5e-08
10,19,0.0323156,2e-08
10,19,0.0328922,1.9e-08
10,19,0.0339396,2.7e-08
10,19,0.0321775,2.7e-08
10,19,0.0340948,2.9e-08
10,19,0.03353,3.3e-08
10,19,0.0326954,2.1e-08
10,19,0.0328489,1.9e-08
10,19,0.0351854,1.9e-08
10,19,0.0352127,3.5e-08
10,19,0.03344,3.1e-08
10,19,0.0353107,4.7e-08
10,19,0.0321434,2e-08
10,19,0.0350672,1.9e-08
10,19,0.0331306,3.7e-08
10,19,0.0348121,4.3e-08
10,19,0.0340019,2.1e-08
10,19,0.0343671,2e-08
10,19,0.0339863,2.6e-08
10,19,0.0333753,2.6e-08
10,19,0.033141,3.6e-08
10,19,0.0339531,2.4e-08
10,19,0.0333986,2.2e-08
10,19,0.0338858,2.1e-08
10,20,0.0657721,2.8e-08
10,20,0.0655651,2e-08
10,20,0.0640996,3e-08
10,20,0.0638647,1.9e-08
10,20,0.064514,2e-08
10,20,0.0657998,1.9e-08
10,20,0.0656615,3.9e-08
10,20,0.0638166,1.9e-08
10,20,0.0650905,3.9e-08
10,20,0.0642853,2.6e-08
10,20,0.0673659,3.2e-08
10,20,0.0655179,3.2e-08
10,20,0.0632562,2.7e-08
10,20,0.0662371,2.5e-08
10,20,0.0642871,2.7e-08
10,20,0.0664921,2e-08
10,20,0.0646259,2.6e-08
10,20,0.0651304,2e-08
10,20,0.0644542,2.7e-08
10,20,0.0636518,2.6e-08
10,20,0.0644806,2e-08
10,20,0.0652109,2.6e-08
10,20,0.0657474,3.5e-08
10,20,0.0656883,2e-08
10,20,0.0662997,2.8e-08
10,20,0.0657724,2e-08
10,20,0.0670074,3.1e-08
10,20,0.0652848,2.1e-08
10,20,0.0645346,2.8e-08
10,20,0.0650533,2.7e-08
10,20,0.0654834,2.9e-08
10,20,0.0638315,2e-08
10,20,0.0660769,2.7e-08
10,20,0.0720575,3e-08
10,20,0.0639817,4.2e-08
10,20,0.0665051,2.1e-08
10,20,0.0665246,2.6e-08
10,20,0.0654759,2.4e-08
10,20,0.064727,2e-08
10,20,0.0651911,3.2e-08
10,20,0.0641066,2.1e-08
10,20,0.0651977,2e-08
10,20,0.0673149,1.9e-08
10,20,0.0639397,2e-08
10,20,0.0651901,2.7e-08
10,20,0.0647304,2.6e-08
10,20,0.0647307,3.9e-08
10,20,0.0658159,3.2e-08
10,20,0.0654971,2.7e-08
10,20,0.0652505,2.2e-08
10,21,0.131895,1.9e-08
10,21,0.127908,3.3e-08
10,21,0.129366,2e-08
10,21,0.130969,1.8e-08
10,21,0.12941,3.4e-08
10,21,0.130825,3.1e-08
10,21,0.131166,2.7e-08
10,21,0.127679,2.7e-08
10,21,0.134966,3.2e-08
10,21,0.128288,3.1e-08
10,21,0.129922,2e-08
10,21,0.129275,2e-08
10,21,0.127521,3.9e-08
10,21,0.130662,2e-08
10,21,0.133695,4.1e-08
10,21,0.128834,2.1e-08
10,21,0.129147,2.9e-08
10,21,0.128109,3.3e-08
10,21,0.129399,2.7e-08
10,21,0.129614,4.8e-08
10,21,0.128395,2.2e-08
10,21,0.129084,2e-08
10,21,0.128873,3.4e-08
10,21,0.129185,3.3e-08
10,21,0.129049,3e-08
10,21,0.132195,4.6e-08
10,21,0.131521,3.2e-08
10,21,0.127585,2e-08
10,21,0.154959,2.8e-08
10,21,0.131889,3.4e-08
